index,UID,nickname,Level,unix_stamp,Text
,,,,,
1,39199822,至尊龙梦雨,17,1524834210,不要脸
2,2647362,逝月随风,8,1524834211,鞭上？
3,150628773,绿茵王者CR7,4,1524834211,阿二打不到车
4,148543163,小怂邦,3,1524834212,我吃
5,46022374,遥方emm,20,1524834212,我二哥呢
6,192278152,叫什么都有一样的,2,1524834212,天王盖地虎
7,148385457,生活不易珍惜当下,5,1524834213,演员已就位
8,30311624,早睡早起吃我一鸡,11,1524834213,"暗号：对A,要不起"
9,191676511,花柳斎,3,1524834213,还美颜
10,160954376,俊少1953,4,1524834214,平胸人又老可以
11,200063601,我的老女人老女人,2,1524834215,鞭上
12,159857377,亦梦殊途,10,1524834215,过分
13,183298305,记得微笑2012,17,1524834216,强行改名字
14,167114992,漂浮中1219,50,1524834216,美美美.....
15,36656677,冰封承诺吾,18,1524834216,好丑
16,25960199,358374598,5,1524834217,你怎么这么平啊
17,171398235,hty171009,8,1524834217,？
18,151792448,子子家的灵婷,6,1524834218,老女人死平胸
19,107383528,阿祟s,10,1524834218,二哥呀，快来
20,46022374,遥方emm,20,1524834219,我要我二哥
21,199854386,呵呵18324,3,1524834219,脱粉了
22,1332590,zfzf13143,8,1524834219,老女人死平胸
23,153856227,QC彡博,4,1524834220,哈哈哈哈
24,65694118,天帝之眼123,6,1524834220,坐边上  自己动
25,174751672,亚洲无敌卢哥哥,3,1524834221,[emot:dy101][emot:dy101]
26,72502276,龍骑士丶境界,26,1524834221,鞭上
27,40817852,呆妹儿我喜欢你,4,1524834222,呆妹儿媳妇我爱你??
28,14101078,风月傲雪,13,1524834222,哈哈哈哈哈哈哈哈哈
29,161647924,可爱的小花花呢,10,1524834222,呀
30,21602395,倾我一生一世念狗娃,10,1524834223,又来了
31,198203902,杨家坪彭于晏丶,6,1524834223,老女人不要脸，还叫别人姐姐
32,198612948,平胸人还老,14,1524834224,哇  隔空对暗号 你还念错 
33,162512609,TONGWAISOI,5,1524834224,哇
34,163431512,疯人愿Fanmeiy,5,1524834224,我要二哥
35,146902966,南派倒斗丶玩玩,16,1524834226,有一个演员
36,2661318,喵喵丶喵Sir,9,1524834226,叫谁姐姐呢 臭不要脸
37,77769578,TD丶如风LC,21,1524834226,又来了
38,3157971,夕眜i,10,1524834227,对A
39,12227725,djshb,16,1524834227,二哥呢
40,122402197,听噗噗唱歌AA,14,1524834227,干嘛呢
41,52394552,辅助超神啦,3,1524834227,Aaaaaaaa
42,139376061,Ntitw,13,1524834228,自己家太厉害了
43,107383528,阿祟s,10,1524834229,?二哥快来?
44,59136014,啊啦嘎污啊啦嘿,19,1524834229,对A
45,194043756,午后热茶,4,1524834230,阿二
46,109577934,枪火擎天柱,6,1524834230,阿二
47,22704511,志红龙,12,1524834231,二哥
48,148714308,嗨Z贝贝熊F,3,1524834231,啊二来了会失望的
49,37747756,文小文先生,14,1524834231,[emot:dy111]
50,58090998,321成业,8,1524834232,牛逼啊
51,48835924,唯我丿雪家师,10,1524834232,死GAl到处要照片
52,27894352,1103371542,14,1524834232,二哥呢
53,118799587,呆妹儿的南朝,13,1524834233,社会我呆没，胸少没人看
54,140455584,野的像凬,4,1524834233,真的P
55,54470026,克里斯田的鱼,14,1524834234,你这是在哪我去找你吧
56,140856869,萝莉软软呐,12,1524834234,?
57,64708824,呆妹儿的小迷弟mua,19,1524834235,美美美美美美美
58,161112388,Dy酒男,14,1524834235,老女人
59,194457416,傲慢家的二狗子,8,1524834235,瓦特？
60,76718602,世纪大酒店就,3,1524834236,坐我“边”上
61,106986364,翻手覆云雨,16,1524834236,阿二
62,161647924,可爱的小花花呢,10,1524834236,6666666
63,195633984,万人拥我为男神,2,1524834237,娘炮
64,73572637,向欧皇橙鸦势力低头,14,1524834237,？？
65,135561611,MARV23,5,1524834237,哈哈哈
66,140806622,优雅绅士山治,14,1524834237,？？？？？？？
67,182193469,谷大圣,2,1524834238,看阿二
68,2950445,空格与白,8,1524834238,？？？？？？？？？？？
69,163431512,疯人愿Fanmeiy,5,1524834238,我二哥呢  
70,143512863,吹啵Qa,5,1524834239,??????丿
71,66987580,装NM,16,1524834239,？？？？？？？？
72,22549924,黑色筱五,10,1524834240,情况不对呀
73,184183902,呆妹儿的九氿,12,1524834240,演员又来一个
74,35048617,我是你的稻艹人,36,1524834240,我的天厉害了
